instnm,State abbreviation (HD2014),Geographic region (HD2014),Level of institution (HD2014),Degree-granting status (HD2014),Total price for out-of-state students living on campus 2014-15 (DRVIC2014),Total price for in-state students living on campus 2014-15 (DRVIC2014),Total  enrollment (DRVEF2014),Number of students receiving a Doctor's degree (DRVC2014),Number of students receiving a Master's degree (DRVC2014),Number of students receiving a Bachelor's degree (DRVC2014),Percent admitted - total (DRVIC2013_RV),Admissions yield - total (DRVIC2013_RV),Percent admitted - men (DRVIC2013_RV),Percent admitted - women (DRVIC2013_RV)
University of Massachusetts-Amherst,MA,1,1,1,42355,26800,28635,306,1388,5462,63,21,62,64
University of Massachusetts-Boston,MA,1,1,1,,,16756,71,923,2366,71,24,75,69
University of Massachusetts-Central Office,MA,1,1,1,,,,,,,,,,
University of Massachusetts-Dartmouth,MA,1,1,1,38823,25885,9111,104,398,1276,72,25,72,72
University of Massachusetts-Lowell,MA,1,1,1,41304,26351,17179,100,879,2227,64,28,68,59
University of Memphis,TN,5,1,1,35902,24190,21059,260,1060,2991,68,52,66,70
University of Miami,FL,5,1,1,62854,62854,16674,815,1042,2621,40,18,41,40
University of Michigan-Ann Arbor,MI,3,1,1,55404,26984,43625,1626,4155,6925,33,40,30,37
University of Michigan-Dearborn,MI,3,1,1,,,8923,8,478,1237,63,31,65,61
University of Michigan-Flint,MI,3,1,1,32590,23362,8574,106,349,1203,78,31,76,80
University of Minnesota-Crookston,MN,4,1,1,22654,22654,2850,0,0,427,69,40,70,69
University of Minnesota-Duluth,MN,4,1,1,27047,23382,11093,2,205,1941,78,37,75,82
University of Minnesota-Morris,MN,4,1,1,23199,23199,1899,0,0,372,58,31,54,60
University of Minnesota-Rochester,MN,4,1,1,25518,25518,488,0,0,73,54,50,54,54
University of Minnesota-Twin Cities,MN,4,1,1,32924,25674,51147,1795,3254,7395,44,29,44,45
University of Mississippi,MS,5,1,1,34752,22704,22503,573,840,3395,81,31,78,82
University of Mississippi Medical Center,MS,5,1,1,,,,,,,,,,
University of Missouri-Columbia,MO,4,1,1,38624,23597,35425,729,1559,5285,79,38,78,79
University of Missouri-Kansas City,MO,4,1,1,33136,22688,16146,575,1026,1752,33,75,35,32
University of Missouri-St Louis,MO,4,1,1,37168,22870,17072,103,852,1974,74,37,77,73
University of Missouri-System Office,MO,4,1,1,,,,,,,,,,
University of Mobile,AL,5,1,1,33565,33565,1600,0,34,272,71,42,75,69
University of Montevallo,AL,5,1,1,35280,24720,3070,0,187,276,87,44,90,86
University of Mount Union,OH,3,1,1,39925,39925,2262,0,31,408,71,29,64,81
University of Nebraska at Kearney,NE,4,1,1,26734,20576,6902,0,327,925,85,47,82,87
University of Nebraska at Omaha,NE,4,1,1,31158,19838,15227,29,690,2150,71,54,70,71
University of Nebraska Medical Center,NE,4,1,1,,,3696,319,262,466,,,,
University of Nebraska-Central Administration System Office,NE,4,1,1,,,,,,,,,,
University of Nebraska-Lincoln,NE,4,1,1,36706,22786,25006,445,850,3775,64,63,64,64
University of Nevada-Las Vegas,NV,8,1,1,36082,22172,28515,339,907,3660,85,60,83,87
University of Nevada-Reno,NV,8,1,1,36510,22600,19934,173,610,2567,84,45,82,85
University of New England,ME,1,1,1,50900,50900,6429,269,632,466,86,17,84,87
University of New Hampshire at Manchester,NH,1,1,1,,,850,0,0,199,73,67,74,72
University of New Hampshire-Main Campus,NH,1,1,1,43730,30750,15117,75,736,2696,78,21,73,82
University of New Hampshire-School of Law,NH,1,1,1,,,271,144,20,0,,,,
University of New Haven,CT,1,1,1,51504,51504,6811,0,765,844,74,16,97,57
University of New Mexico-Gallup Campus,NM,6,2,1,,,2384,,,,,,,
University of New Mexico-Los Alamos Campus,NM,6,2,1,18329,15215,848,,,,,,,
University of New Mexico-Main Campus,NM,6,1,1,34110,20292,27844,519,1299,3639,65,46,63,66
University of New Mexico-Taos Campus,NM,6,2,1,,,1769,,,,,,,
University of New Mexico-Valencia County Campus,NM,6,2,1,,,2321,,,,,,,
University of New Orleans,LA,5,1,1,34623,21013,9234,57,592,1386,50,53,53,48
University of North Alabama,AL,5,1,1,23395,17539,6841,0,313,1036,81,47,81,81
University of North Carolina at Asheville,NC,5,1,1,34799,19928,3845,0,10,750,64,28,61,66
University of North Carolina at Chapel Hill,NC,5,1,1,50732,25650,29135,1229,2072,4566,28,50,28,27
University of North Carolina at Charlotte,NC,5,1,1,32542,19371,27238,123,1403,4190,69,38,69,68
University of North Carolina at Greensboro,NC,5,1,1,33726,18864,18647,131,880,2984,60,41,62,59
University of North Carolina at Pembroke,NC,5,1,1,28019,18067,6269,0,219,1007,72,46,72,72
University of North Carolina School of the Arts,NC,5,1,1,37587,22217,958,0,45,148,45,54,51,41
University of North Carolina System Office,NC,5,1,1,,,,,,,,,,
University of North Carolina Wilmington,NC,5,1,1,35419,21391,14570,6,547,2873,54,34,56,53
University of North Dakota,ND,4,1,1,31921,21253,14906,243,772,1927,74,59,74,74
University of North Florida,FL,5,1,1,35481,21077,15984,43,545,3158,53,28,55,52
University of North Georgia,GA,5,1,1,26698,18021,16064,28,147,1132,61,63,62,60
University of North Texas,TX,6,1,1,29926,21238,36486,277,1633,6315,60,42,76,47
University of North Texas at Dallas,TX,6,1,1,,,2575,0,79,404,,,,
University of North Texas Health Science Center,TX,6,1,1,,,2243,278,388,0,,,,
University of North Texas System,TX,6,1,1,,,,,,,,,,
University of Northern Colorado,CO,7,1,1,33527,21983,12050,96,685,2043,70,37,65,72
University of Northern Iowa,IA,4,1,1,30057,20159,11928,20,520,2357,83,51,80,86
University of Northwestern Ohio,OH,3,1,1,22175,22175,4111,0,12,147,,,,
University of Northwestern-St Paul,MN,4,1,1,40636,40636,3427,0,77,582,69,35,72,68
University of Notre Dame,IN,3,1,1,62461,62461,12179,386,980,2085,22,53,23,22
University of Oklahoma-Health Sciences Center,OK,6,1,1,,,3499,433,349,470,,,,
University of Oklahoma-Norman Campus,OK,6,1,1,36729,23955,27261,351,1672,3815,80,46,77,83
University of Oregon,OR,8,1,1,45375,24405,24096,339,878,4603,74,26,69,79
University of Pennsylvania,PA,2,1,1,64200,64200,24806,1199,3521,2551,12,63,12,13
University of Phoenix-Albuquerque Campus,NM,6,1,1,,,1473,0,172,702,,,,
University of Phoenix-Arizona,AZ,6,1,1,,,195059,409,12380,25268,,,,
University of Phoenix-Arkansas,AR,5,1,1,,,584,0,48,171,,,,
University of Phoenix-Atlanta Campus,GA,5,1,1,,,,,,,,,,
University of Phoenix-Augusta Campus,GA,5,1,1,,,,,,,,,,
University of Phoenix-Austin Campus,TX,6,1,1,,,,,,,,,,
University of Phoenix-Baton Rouge Campus,LA,5,1,1,,,,,,,,,,
University of Phoenix-Bay Area Campus,CA,8,1,1,,,,,,,,,,
University of Phoenix-Birmingham Campus,AL,5,1,1,,,211,0,16,57,,,,
University of Phoenix-Boston Campus,MA,1,1,1,,,198,0,18,43,,,,
University of Phoenix-California,CA,8,1,1,,,23257,0,1444,6119,,,,
University of Phoenix-Central Florida Campus,FL,5,1,1,,,,,,,,,,
University of Phoenix-Central Valley Campus,CA,8,1,1,,,,,,,,,,
University of Phoenix-Charlotte Campus,NC,5,1,1,,,,,,,,,,
University of Phoenix-Chattanooga Campus,TN,5,1,1,,,,,,,,,,
University of Phoenix-Chicago Campus,IL,3,1,1,,,849,0,41,199,,,,
University of Phoenix-Cleveland Campus,OH,3,1,1,,,542,0,44,142,,,,
University of Phoenix-Colorado,CO,7,1,1,,,1674,0,209,437,,,,
University of Phoenix-Colorado Campus,CO,7,1,1,,,,,,,,,,
University of Phoenix-Columbia Campus,SC,5,1,1,,,540,0,25,119,,,,
University of Phoenix-Columbus Georgia Campus,GA,5,1,1,,,,,,,,,,
University of Phoenix-Dallas Campus,TX,6,1,1,,,,,,,,,,
University of Phoenix-Des Moines Campus,IA,4,1,1,,,36,0,7,1,,,,
University of Phoenix-Detroit Campus,MI,3,1,1,,,,,,,,,,
University of Phoenix-Fairfield County Campus,CT,1,1,1,,,19,0,3,4,,,,
University of Phoenix-Florida,FL,5,1,1,,,3707,0,378,995,,,,
University of Phoenix-Georgia,GA,5,1,1,,,2837,0,176,764,,,,
University of Phoenix-Hawaii Campus,HI,8,1,1,,,1593,0,82,324,,,,
University of Phoenix-Houston Campus,TX,6,1,1,,,,,,,,,,
University of Phoenix-Idaho Campus,ID,7,1,1,,,245,0,15,103,,,,
University of Phoenix-Indianapolis Campus,IN,3,1,1,,,290,0,6,65,,,,
University of Phoenix-Jackson Campus,MS,5,1,1,,,49,0,1,2,,,,
University of Phoenix-Jersey City Campus,NJ,2,1,1,,,371,0,0,69,,,,
University of Phoenix-Kansas City Campus,MO,4,1,1,,,,,,,,,,
University of Phoenix-Knoxville Campus,TN,5,1,1,,,,,,,,,,
University of Phoenix-Lafayette Campus,LA,5,1,1,,,,,,,,,,
University of Phoenix-Las Vegas Campus,NV,8,1,1,,,,,,,,,,
University of Phoenix-Little Rock Campus,AR,5,1,1,,,,,,,,,,
University of Phoenix-Louisiana,LA,5,1,1,,,1028,0,115,302,,,,
University of Phoenix-Louisiana Campus,LA,5,1,1,,,,,,,,,,
University of Phoenix-Louisville Campus,KY,5,1,1,,,192,0,8,21,,,,
University of Phoenix-Maryland Campus,MD,2,1,1,,,460,0,35,124,,,,
University of Phoenix-McAllen Campus,TX,6,1,1,,,,,,,,,,
University of Phoenix-Memphis Campus,TN,5,1,1,,,,,,,,,,
University of Phoenix-Michigan,MI,3,1,1,,,1361,0,97,334,,,,
University of Phoenix-Milwaukee Campus,WI,3,1,1,,,288,0,20,116,,,,
University of Phoenix-Minneapolis St Paul Campus,MN,4,1,1,,,146,0,16,37,,,,
University of Phoenix-Missouri,MO,4,1,1,,,1020,0,47,210,,,,
University of Phoenix-Nashville Campus,TN,5,1,1,,,,,,,,,,
University of Phoenix-Nevada,NV,8,1,1,,,2090,0,197,511,,,,
University of Phoenix-North Carolina,NC,5,1,1,,,772,0,60,204,,,,
University of Phoenix-North Florida Campus,FL,5,1,1,,,,,,,,,,
University of Phoenix-Northern Nevada Campus,NV,8,1,1,,,,,,,,,,
University of Phoenix-Northern Virginia Campus,VA,5,1,1,,,,,,,,,,
University of Phoenix-Northwest Arkansas Campus,AR,5,1,1,,,,,,,,,,
University of Phoenix-Oklahoma,OK,6,1,1,,,471,0,54,199,,,,
University of Phoenix-Oklahoma City Campus,OK,6,1,1,,,,,,,,,,
University of Phoenix-Omaha Campus,NE,4,1,1,,,,,,,,,,
University of Phoenix-Online Campus,AZ,6,1,1,,,,,,,,,,
University of Phoenix-Oregon Campus,OR,8,1,1,,,534,0,33,172,,,,
University of Phoenix-Pennsylvania,PA,2,1,1,,,669,0,28,140,,,,
University of Phoenix-Phoenix Campus,AZ,6,1,1,,,,,,,,,,
University of Phoenix-Raleigh Campus,NC,5,1,1,,,,,,,,,,
University of Phoenix-Richmond-Virginia Beach Campus,VA,5,1,1,,,,,,,,,,
University of Phoenix-Sacramento Valley Campus,CA,8,1,1,,,,,,,,,,
University of Phoenix-San Antonio Campus,TX,6,1,1,,,,,,,,,,
University of Phoenix-San Diego Campus,CA,8,1,1,,,,,,,,,,
University of Phoenix-Savannah Campus,GA,5,1,1,,,,,,,,,,
University of Phoenix-Shreveport-Bossier Campus,LA,5,1,1,,,,,,,,,,
University of Phoenix-South Florida Campus,FL,5,1,1,,,,,,,,,,
University of Phoenix-Southern Arizona Campus,AZ,6,1,1,,,,,,,,,,
University of Phoenix-Southern California Campus,CA,8,1,1,,,,,,,,,,
University of Phoenix-Southern Colorado Campus,CO,7,1,1,,,,,,,,,,
University of Phoenix-St Louis Campus,MO,4,1,1,,,,,,,,,,
University of Phoenix-Tennessee,TN,5,1,1,,,2485,0,138,529,,,,
University of Phoenix-Texas,TX,6,1,1,,,5254,0,327,970,,,,
University of Phoenix-Tulsa Campus,OK,6,1,1,,,,,,,,,,
University of Phoenix-Utah Campus,UT,7,1,1,,,1469,0,259,321,,,,
University of Phoenix-Virginia,VA,5,1,1,,,1357,0,137,297,,,,
University of Phoenix-Washington DC Campus,DC,2,1,1,,,265,0,0,28,,,,
University of Phoenix-West Florida Campus,FL,5,1,1,,,,,,,,,,
University of Phoenix-West Michigan Campus,MI,3,1,1,,,,,,,,,,
University of Phoenix-Western Washington Campus,WA,8,1,1,,,662,0,40,172,,,,
University of Pikeville,KY,5,1,1,34500,34500,2458,74,11,147,100,21,100,100
University of Pittsburgh Medical Center-Shadyside School of Nursing,PA,2,2,2,,,265,,,,84,69,80,85
University of Pittsburgh-Bradford,PA,2,1,1,37010,26194,1499,0,0,238,85,47,86,85
University of Pittsburgh-Greensburg,PA,2,1,1,38070,27254,1578,0,0,308,93,34,91,95
University of Pittsburgh-Johnstown,PA,2,1,1,37662,26846,2869,0,0,516,90,54,90,90
University of Pittsburgh-Pittsburgh Campus,PA,2,1,1,43360,32964,28617,1135,2340,4224,56,26,56,56
University of Pittsburgh-Titusville,PA,2,2,1,35652,26090,371,,,,95,49,94,96
University of Portland,OR,8,1,1,56202,56202,4143,7,174,884,67,13,69,66
University of Puget Sound,WA,8,1,1,57908,57908,2826,37,77,565,85,17,82,88
University of Redlands,CA,8,1,1,60874,60874,5333,10,531,802,67,21,66,68
University of Rhode Island,RI,1,1,1,43075,27509,16571,219,541,2667,79,19,79,78
University of Richmond,VA,5,1,1,59630,59630,4182,151,106,904,31,26,33,30
University of Rio Grande,OH,3,1,1,36608,36608,2202,0,44,156,,,,
University of Rochester,NY,2,1,1,63268,63268,11060,393,1259,1663,36,24,35,36
University of Saint Francis-Fort Wayne,IN,3,1,1,37754,37754,2308,0,159,282,54,38,50,56
University of Saint Joseph,CT,1,1,1,51731,51731,2565,55,470,256,86,21,,86
University of Saint Mary,KS,4,1,1,36039,36039,1436,0,132,226,47,30,41,55
University of Saint Mary of the Lake,IL,3,1,1,,,284,5,48,0,,,,
University of San Diego,CA,8,1,1,59729,59729,8349,328,661,1261,49,17,46,51
University of San Francisco,CA,8,1,1,60170,60170,10689,258,1299,1506,61,13,61,61
University of Science and Arts of Oklahoma,OK,6,1,1,25964,17024,904,0,0,181,62,40,54,66
University of Scranton,PA,2,1,1,56590,56590,5589,48,624,853,75,13,76,74
University of Sioux Falls,SD,4,1,1,36565,36565,1419,0,139,292,97,18,96,98
University of South Alabama,AL,5,1,1,26984,20096,15805,193,746,1838,86,45,84,88
University of South Carolina-Aiken,SC,5,1,1,31319,21995,3444,0,19,516,51,39,52,51
University of South Carolina-Beaufort,SC,5,1,1,31685,21665,1794,0,0,236,73,40,68,76
University of South Carolina-Columbia,SC,5,1,1,43847,25565,32971,717,1648,4903,61,33,61,60
University of South Carolina-Lancaster,SC,5,2,1,,,1738,,,,89,71,88,89
University of South Carolina-Salkehatchie,SC,5,2,1,,,1076,,,,73,76,72,74
University of South Carolina-Sumter,SC,5,2,1,,,878,,,,55,66,59,51
University of South Carolina-Union,SC,5,2,1,,,679,,,,77,85,81,74
University of South Carolina-Upstate,SC,5,1,1,33454,23104,5585,0,11,1162,64,41,64,64
University of South Dakota,SD,4,1,1,23029,20257,10061,237,478,1024,88,42,86,89
University of South Florida-Main Campus,FL,5,1,1,31824,20910,41938,545,2590,7848,45,30,44,46
University of South Florida-Sarasota-Manatee,FL,5,1,1,,,1903,0,55,488,35,63,32,37
University of South Florida-St Petersburg,FL,5,1,1,31235,20321,4491,0,167,817,44,40,41,46
University of Southern California,CA,8,1,1,64694,64694,42453,1481,7042,4746,20,31,20,20
University of Southern Indiana,IN,3,1,1,27552,18212,9364,16,297,1550,69,40,71,69
University of Southern Maine,ME,1,1,1,33868,23156,8428,97,467,1193,83,27,82,84
University of Southern Mississippi,MS,5,1,1,29170,20600,14792,122,728,2406,66,43,66,67
University of Southernmost Florida,FL,5,1,1,,,173,0,0,0,,,,
University of Spa & Cosmetology Arts,IL,3,3,2,,,158,,,,,,,
University of St Augustine for Health Sciences,CA,8,1,1,,,1913,408,125,0,,,,
University of St Francis,IL,3,1,1,41360,41360,3762,2,519,445,51,27,50,52
University of St Thomas,MN,4,1,1,49600,49600,10140,169,999,1390,86,29,85,87
University of St Thomas,TX,6,1,1,42686,42686,3448,3,778,288,77,39,79,76
University of Texas Southwestern Medical Center,TX,6,1,1,,,2341,349,104,2,,,,
University of the Cumberlands,KY,5,1,1,34200,34200,5736,24,987,279,71,27,66,78
University of the District of Columbia,DC,2,1,1,,,4803,0,86,410,,,,
University of the District of Columbia-David A Clarke School of Law,DC,2,1,1,,,312,103,4,0,,,,
University of the Incarnate Word,TX,6,1,1,41290,41290,8745,180,470,1193,93,28,92,94
University of the Ozarks,AR,5,1,1,36662,36662,587,0,0,124,61,24,62,61
University of the Pacific,CA,8,1,1,58829,58829,6304,624,342,925,73,9,75,71
University of the Potomac-VA Campus,VA,5,1,1,,,97,0,0,10,,,,
University of the Potomac-Washington DC Campus,DC,2,1,1,,,264,0,4,59,,,,
University of the Rockies,CO,7,1,1,,,1639,40,376,0,,,,
University of the Sciences,PA,2,1,1,54830,54830,2748,273,107,367,56,20,59,55
University of the Southwest,NM,6,1,1,25716,25716,1009,0,106,44,,,,
University of the West,CA,8,1,1,24370,24370,368,6,37,6,,,,
University of Toledo,OH,3,1,1,34147,24809,20626,570,1021,2846,91,34,91,91
University of Tulsa,OK,6,1,1,52055,52055,4682,129,293,625,41,29,44,38
University of Utah,UT,7,1,1,39959,22737,31515,711,1794,4774,82,34,77,86
University of Vermont,VT,1,1,1,51322,29674,12856,220,328,2293,78,14,73,81
University of Virginia-Main Campus,VA,5,1,1,56196,27010,23732,919,1649,3697,30,41,29,31
University of Washington-Bothell Campus,WA,8,1,1,48630,27511,4962,0,206,1203,76,31,76,76
University of Washington-Seattle Campus,WA,8,1,1,47817,26698,44784,1326,3404,7268,55,37,53,57
University of Washington-Tacoma Campus,WA,8,1,1,48981,27862,4477,0,277,1170,85,40,82,87
University of West Alabama,AL,5,1,1,25388,18520,3989,0,576,226,100,83,99,100
University of West Georgia,GA,5,1,1,32590,22270,12206,23,416,1649,54,57,50,56
University of West Los Angeles,CA,8,1,1,,,229,,,,,,,
University of Western States,OR,8,1,1,,,690,139,30,0,,,,
University of Wisconsin Colleges,WI,3,2,1,,,14045,,,,99,72,99,99
University of Wisconsin Extension,WI,3,1,1,,,,,,,,,,
University of Wisconsin-Eau Claire,WI,3,1,1,26641,19068,10721,2,151,2104,76,41,72,79
University of Wisconsin-Green Bay,WI,3,1,1,25623,18050,6927,0,47,1179,85,43,80,87
University of Wisconsin-La Crosse,WI,3,1,1,25650,18077,10669,45,279,1785,72,38,66,76
University of Wisconsin-Madison,WI,3,1,1,40644,24394,42598,1497,2006,6695,68,40,64,71
University of Wisconsin-Milwaukee,WI,3,1,1,32020,22291,27596,228,1212,3951,86,45,85,87
University of Wisconsin-Oshkosh,WI,3,1,1,25492,17919,14541,4,268,2005,81,44,78,84
University of Wisconsin-Parkside,WI,3,1,1,26091,18518,4543,0,34,614,75,50,78,73
University of Wisconsin-Platteville,WI,3,1,1,25814,18241,8901,0,211,1328,96,53,97,96
University of Wisconsin-River Falls,WI,3,1,1,25518,17945,6198,0,156,1188,87,50,86,87
University of Wisconsin-Stevens Point,WI,3,1,1,24556,16983,9330,5,96,1944,83,45,81,85
University of Wisconsin-Stout,WI,3,1,1,26747,19001,9394,0,288,1597,89,53,88,90
University of Wisconsin-Superior,WI,3,1,1,26072,18499,2600,0,37,460,89,44,86,92
University of Wisconsin-System Administration,WI,3,1,1,,,,,,,,,,
University of Wisconsin-Whitewater,WI,3,1,1,24917,17344,12176,0,438,2116,85,45,84,86
University of Wyoming,WY,7,1,1,28921,18691,12820,222,475,1961,96,40,94,98
University System of Maryland,MD,2,1,1,,,,,,,,,,
University System of Maryland-Research Centers,MD,2,1,1,,,,,,,,,,
University System of New Hampshire System Office,NH,1,1,1,,,,,,,,,,
Upper Cape Cod Regional Technical School,MA,1,3,2,,,71,,,,30,84,15,32
Upper Iowa University,IA,4,1,1,38658,38658,5162,0,147,1375,58,30,60,56
Upper Valley Career Center,OH,3,3,2,,,323,,,,,,,
Upper Valley Educators Institute,NH,1,1,2,,,28,0,0,0,,,,
Upstate Medical University,NY,2,1,1,,,1516,204,146,139,,,,
Urban College of Boston,MA,1,2,1,,,810,,,,,,,
Urbana University,OH,3,1,1,32554,32554,1922,0,19,164,,,,
Urshan Graduate School of Theology,MO,4,1,1,,,55,0,12,0,,,,
Ursinus College,PA,2,1,1,60902,60902,1681,0,0,360,66,16,64,68
Ursuline College,OH,3,1,1,39636,39636,1236,3,212,200,58,40,64,58
Uta Mesivta of Kiryas Joel,NY,2,1,1,18800,18800,1634,0,0,265,,,,
Utah College of Massage Therapy-Aurora,CO,7,3,2,,,256,,,,,,,
Utah College of Massage Therapy-Dallas,TX,6,3,2,,,324,,,,,,,
Utah College of Massage Therapy-Houston,TX,6,3,2,,,350,,,,,,,
Utah College of Massage Therapy-Phoenix,AZ,6,3,2,,,462,,,,,,,
Utah College of Massage Therapy-Salt Lake City,UT,7,3,2,,,347,,,,,,,
Utah College of Massage Therapy-Tempe,AZ,6,3,2,,,329,,,,,,,
Utah College of Massage Therapy-Utah Valley,UT,7,3,2,,,136,,,,,,,
Utah College of Massage Therapy-Vegas,NV,8,3,2,,,435,,,,,,,
Utah College of Massage Therapy-Westminster,CO,7,3,2,,,176,,,,,,,
Utah State University,UT,7,1,1,30100,18100,27662,115,927,3362,97,44,96,97
Utah Valley University,UT,7,1,1,,,31332,0,52,2825,,,,
Utica College,NY,2,1,1,49294,49294,4249,240,239,650,85,15,85,86
Utica School of Commerce,NY,2,2,1,,,282,,,,,,,
Valdosta State University,GA,5,1,1,30547,20230,11563,36,601,1680,55,55,55,55
Valencia College,FL,5,1,1,,,43217,0,0,25,,,,
Valley Beauty School,OH,3,2,2,,,10,,,,,,,
Valley Beauty School,OH,3,2,2,,,22,,,,,,,
Valley City State University,ND,4,1,1,25776,17380,1378,0,41,213,83,65,82,84
Valley College of Medical Careers,CA,8,2,1,,,94,,,,,,,
Valley College-Beckley,WV,5,2,1,,,331,,,,,,,
Valley College-Martinsburg,WV,5,3,2,,,140,,,,,,,
Valley College-Princeton,WV,5,3,2,,,89,,,,,,,
Valley Forge Christian College,PA,2,1,1,32394,32394,885,0,12,122,66,50,63,68
Valley Forge Military College,PA,2,2,1,44996,44996,322,,,,75,22,77,68
Valley Grande Institute for Academic Studies,TX,6,3,2,,,96,,,,,,,
Valparaiso University,IN,3,1,1,47760,47760,4507,192,284,613,80,18,80,79
Vance-Granville Community College,NC,5,2,1,,,4025,,,,,,,
Vanderbilt University,TN,5,1,1,62320,62320,12686,666,1416,1663,13,41,15,11
VanderCook College of Music,IL,3,1,1,41080,41080,176,0,58,21,37,33,32,44
Vanguard College of Cosmetology-Baton Rouge,LA,5,3,2,,,75,,,,,,,
Vanguard College of Cosmetology-Metairie,LA,5,3,2,,,111,,,,,,,
Vanguard College of Cosmetology-Slidell,LA,5,3,2,,,94,,,,,,,
Vanguard University of Southern California,CA,8,1,1,43934,43934,2255,0,75,503,70,38,66,71
Vanguard-Sentinel Adult Career and Technology Center,OH,3,3,2,,,44,,,,,,,
Vanity School of Cosmetology,OH,3,2,2,,,64,,,,,,,
Vantage Career Center,OH,3,3,2,,,44,,,,,,,
Vassar College,NY,2,1,1,63390,63390,2421,0,0,625,24,36,34,19
Vatterott College-Appling Farms,TN,5,2,1,,,285,,,,,,,
Vatterott College-Berkeley,MO,4,1,1,,,1287,0,0,0,,,,
Vatterott College-Cleveland,OH,3,2,1,,,218,,,,,,,
Vatterott College-Des Moines,IA,4,2,1,,,194,,,,,,,
Vatterott College-Dividend,TN,5,2,1,,,667,,,,,,,
Vatterott College-ex'treme Institute by Nelly-St Louis,MO,4,2,1,,,444,,,,,,,
Vatterott College-Fairview Heights,IL,3,3,2,,,497,,,,,,,
Vatterott College-Joplin,MO,4,2,1,,,264,,,,,,,
Vatterott College-Kansas City,MO,4,2,1,,,638,,,,,,,
Vatterott College-Oklahoma City,OK,6,2,1,,,324,,,,,,,
Vatterott College-Quincy,IL,3,2,1,,,140,,,,,,,
Vatterott College-Spring Valley,NE,4,2,1,,,145,,,,,,,
Vatterott College-Springfield,MO,4,2,1,,,348,,,,,,,
Vatterott College-St Charles,MO,4,2,1,,,396,,,,,,,
Vatterott College-St Joseph,MO,4,2,1,,,164,,,,,,,
Vatterott College-Sunset Hills,MO,4,1,1,,,514,0,0,4,,,,
Vatterott College-Tulsa,OK,6,2,1,,,164,,,,,,,
Vatterott College-Wichita,KS,4,2,1,,,162,,,,,,,
Vaughn College of Aeronautics and Technology,NY,2,1,1,42176,42176,1614,0,4,128,77,50,77,76
Veeb Nassau County School of Practical Nursing,NY,2,3,2,,,201,,,,,,,
Velvatex College of Beauty Culture,AR,5,3,2,,,25,,,,,,,
Velvet Touch Academy of Cosmetology,ID,7,2,2,,,41,,,,,,,
Venango County Area Vocational Technical School,PA,2,3,2,,,64,,,,72,28,94,69
Ventura Adult and Continuing Education,CA,8,3,2,,,104,,,,,,,
Ventura College,CA,8,2,1,,,12928,,,,,,,
Ventura County Community College System Office,CA,8,2,1,,,,,,,,,,
Venus Beauty Academy,PA,2,3,2,,,105,,,,,,,
Vermilion Community College,MN,4,2,1,16501,15319,712,,,,,,,
Vermont College of Fine Arts,VT,1,1,1,,,369,0,159,0,,,,
Vermont Law School,VT,1,1,1,,,642,130,123,0,,,,
Vermont State Colleges-Office of the Chancellor,VT,1,1,1,,,,,,,,,,
Vermont Technical College,VT,1,1,1,36070,25222,1542,0,0,152,83,41,92,66
Vernon College,TX,6,2,1,16150,14050,2989,,,,,,,
Vet Tech Institute,PA,2,2,1,,,372,,,,,,,
Vet Tech Institute of Houston,TX,6,2,1,,,216,,,,65,69,59,66
Vibe Barber College,TN,5,3,2,,,60,,,,,,,
VICI Aveda Institute,WI,3,2,2,,,125,,,,,,,
Victor Valley Beauty College Inc,CA,8,3,2,,,97,,,,,,,
Victor Valley College,CA,8,2,1,,,11557,,,,,,,
Victoria Beauty College Inc,TX,6,3,2,,,127,,,,,,,
Victoria College,TX,6,2,1,,,4146,,,,,,,
Victoria's Academy of Cosmetology,WA,8,3,2,,,88,,,,,,,
Victory Trade School,MO,4,2,2,15100,15100,20,,,,,,,
Victory University,TN,5,1,1,,,,,,,95,100,98,94
Video Symphony EnterTraining Inc,CA,8,3,2,,,,,,,,,,
Villa Maria College,NY,2,1,1,,,477,0,0,49,81,38,77,82
Villanova University,PA,2,1,1,60694,60694,10735,247,1080,1699,49,23,48,49
Vinal Technical High School,CT,1,3,2,,,27,,,,100,73,100,100
Vincennes Beauty College,IN,3,3,2,,,75,,,,,,,
Vincennes University,IN,3,1,1,25338,18278,19205,0,0,101,,,,
Virgil's Beauty College,OK,6,3,2,,,22,,,,,,,
Virginia Baptist College,VA,5,1,1,13196,13196,94,0,1,9,,,,
Virginia Beach City Public Schools School of Practical Nursing,VA,5,3,2,,,63,,,,63,70,0,67
Virginia College-Augusta,GA,5,1,1,,,921,0,0,0,,,,
Virginia College-Austin,TX,6,2,1,,,569,,,,,,,
Virginia College-Baton Rouge,LA,5,2,1,,,589,,,,,,,
Virginia College-Biloxi,MS,5,2,1,,,381,,,,,,,
Virginia College-Birmingham,AL,5,1,1,,,2818,0,35,189,,,,
Virginia College-Charleston,SC,5,1,1,,,414,0,0,2,,,,
Virginia College-Columbia,SC,5,1,1,,,589,0,0,0,,,,
Virginia College-Columbus,GA,5,2,1,,,741,,,,,,,
Virginia College-Florence,SC,5,2,1,,,414,,,,,,,
Virginia College-Fort Pierce,FL,5,2,1,,,230,,,,,,,
Virginia College-Greensboro,NC,5,1,1,,,513,0,0,0,,,,
Virginia College-Greenville,SC,5,2,1,,,453,,,,,,,
